number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
1,NRC,HNX,2020Q2,6.18,-83.4,na,240,"2,165.00",6.4,not audited,consolidated,6/8/2020,billion,dong
2,TTL,HNX,2020Q2,7.17,143.9,na,171,528,16.3,reviewed,consolidated,6/8/2020,billion,dong
3,SFG,HOSE,2020Q2,2.79,-52.7,11,58,-63,-84.1,not audited,separated,6/8/2020,billion,dong
4,MCF,HNX,2020Q2,7.05,30.2,71,654,"1,196.00",6.9,reviewed,separated,6/8/2020,billion,dong
5,PXI,HOSE,2020Q2,-20.12,"-5,732.60",na,-671,-560,-5,reviewed,separated,6/8/2020,billion,dong
6,NT2,HOSE,2020Q2,428.03,10.7,69,"1,487.00","2,781.00",7.8,reviewed,separated,6/8/2020,billion,dong
7,ECI,HNX,2020Q2,2.07,-21.4,68,"1,174.00","1,987.00",8,reviewed,separated,6/8/2020,billion,dong
8,BAX,HNX,2020Q2,13.85,-77.6,13,"1,689.00","4,520.00",9.6,reviewed,separated,6/8/2020,billion,dong
9,DIG,HOSE,2020Q2,27.84,-31.1,na,90,"1,439.00",8.5,not audited,consolidated,6/8/2020,billion,dong
10,QST,HNX,2020Q2,0.14,246.4,3,84,"2,295.00",5.1,reviewed,separated,6/8/2020,billion,dong
11,TBX,HNX,2020Q2,-1.74,"-1,180.20",-359,"-1,151.00","-1,356.00",-16.4,not audited,separated,6/8/2020,billion,dong
12,VGS,HNX,2020Q2,21.4,-24.5,43,508,"1,620.00",4.3,not audited,consolidated,6/8/2020,billion,dong
13,SJC,HNX,2020Q2,-0.27,-291.3,na,-39,-55,-25.5,not audited,separated,6/8/2020,billion,dong
14,TRC,HOSE,2020Q2,37,10.8,52,"1,270.00","2,968.00",9.9,reviewed,consolidated,6/8/2020,billion,dong
15,STC,HNX,2020Q2,3.55,-48.3,27,627,"2,145.00",5.7,reviewed,consolidated,6/8/2020,billion,dong
16,VSH,HOSE,2020Q2,-3.18,-102.9,-3,-15,214,78,not audited,consolidated,6/8/2020,billion,dong
17,TMS,HOSE,2020Q2,139.77,30.2,44,"2,434.00","4,417.00",5.8,not audited,consolidated,6/8/2020,billion,dong
18,TN1,HOSE,2020Q2,40.63,-12.8,35,"3,055.00","7,807.00",6.7,not audited,consolidated,6/8/2020,billion,dong
19,HSL,HOSE,2020Q2,3.85,-74.4,26,244,"2,279.00",2.1,not audited,consolidated,6/8/2020,billion,dong
20,GVR,HOSE,2020Q2,680.39,-22.1,18,170,781,13.6,not audited,consolidated,6/8/2020,billion,dong
21,PMG,HOSE,2020Q2,-4.02,-111.4,-6,-95,598,20.5,not audited,consolidated,6/8/2020,billion,dong
22,VPI,HOSE,2020Q2,24.04,3.6,8,150,"3,247.00",13,not audited,consolidated,6/8/2020,billion,dong
23,CRC,HOSE,2020Q2,1.91,-60.4,15,127,403,29.7,not audited,consolidated,6/8/2020,billion,dong
24,SJF,HOSE,2020Q2,-23.15,-235.2,-93,-292,-440,-4.3,not audited,consolidated,6/8/2020,billion,dong
25,TFC,HNX,2020Q2,-5.58,na,-19,-331,"1,774.00",2.6,not audited,consolidated,6/8/2020,billion,dong
26,GTN,HOSE,2020Q2,39.43,573.4,40,158,-112,-204.9,reviewed,consolidated,6/8/2020,billion,dong
27,VGC,HOSE,2020Q2,313.74,-11.5,42,700,"1,363.00",14.7,not audited,consolidated,6/8/2020,billion,dong
28,CEO,HNX,2020Q2,-55.67,-118.8,-28,-228,391,17.9,not audited,consolidated,6/8/2020,billion,dong
29,SHA,HOSE,2020Q2,8.53,-24.5,34,290,928,4.6,not audited,consolidated,6/8/2020,billion,dong
30,ILB,HOSE,2020Q2,28.9,0.1,na,"1,179.00","2,459.00",6.3,not audited,consolidated,6/8/2020,billion,dong
31,HHS,HOSE,2020Q2,185.76,129.9,79,729,"1,197.00",3.6,not audited,consolidated,6/8/2020,billion,dong
32,PTL,HOSE,2020Q2,0.13,102.2,1,1,74,63.4,not audited,consolidated,6/8/2020,billion,dong
33,C47,HOSE,2020Q2,12,184.8,48,705,357,26.2,not audited,consolidated,6/8/2020,billion,dong
34,ACC,HOSE,2020Q2,22.41,36.2,47,"2,241.00","5,011.00",3.2,not audited,consolidated,6/8/2020,billion,dong
35,SHI,HOSE,2020Q2,5.92,-74.9,7,68,992,9.9,not audited,consolidated,6/8/2020,billion,dong
36,MSN,HOSE,2020Q2,117.25,-93.8,na,100,"3,245.00",16.6,not audited,consolidated,6/8/2020,billion,dong
37,VPH,HOSE,2020Q2,12.27,1.8,16,129,211,20.9,not audited,consolidated,6/8/2020,billion,dong
38,PNC,HOSE,2020Q2,-14.51,"-2,427.50",na,"-1,343.00",-105,-96.7,not audited,consolidated,6/8/2020,billion,dong
39,VNL,HOSE,2020Q2,15,31.3,na,"1,667.00","2,564.00",6.6,not audited,consolidated,6/8/2020,billion,dong
40,HAG,HOSE,2020Q2,-47.79,na,18,-52,767,5.4,not audited,consolidated,6/8/2020,billion,dong
41,LCG,HOSE,2020Q2,76.85,-20.3,37,765,"1,719.00",4.8,not audited,consolidated,6/8/2020,billion,dong
42,QCG,HOSE,2020Q2,26.34,-28,35,96,255,23.6,not audited,consolidated,6/8/2020,billion,dong
43,SAB,HOSE,2020Q2,"1,864.69",-29.9,na,"2,908.00","6,642.00",27.5,not audited,consolidated,6/8/2020,billion,dong
44,SRA,HNX,2020Q2,0.34,-99.2,na,19,"3,932.00",2.9,not audited,consolidated,6/8/2020,billion,dong
45,SD9,HNX,2020Q2,11.35,36.1,37,332,445,13.3,not audited,consolidated,6/8/2020,billion,dong
46,KBC,HOSE,2020Q2,55.51,-85.8,na,118,"1,107.00",11.9,not audited,consolidated,6/8/2020,billion,dong
47,VHC,HOSE,2020Q2,367.58,-49.5,46,"2,749.00","6,138.00",5.8,not audited,consolidated,6/8/2020,billion,dong
48,TTF,HOSE,2020Q2,23.21,107.5,44,75,"-1,514.00",-2.1,not audited,consolidated,6/8/2020,billion,dong
49,SGT,HOSE,2020Q2,11.53,-51.8,na,156,-42,-126,not audited,consolidated,6/8/2020,billion,dong
50,SJE,HNX,2020Q2,10.29,-45.6,16,562,"2,770.00",6.8,not audited,consolidated,6/8/2020,billion,dong
51,TSC,HOSE,2020Q2,9.03,-4.5,28,61,6,405,not audited,consolidated,6/8/2020,billion,dong
52,VIC,HOSE,2020Q2,"2,304.60",-4,46,685,"2,202.00",39.7,not audited,consolidated,6/8/2020,billion,dong
53,PVD,HOSE,2020Q2,84.92,289.6,na,204,606,16.8,not audited,consolidated,6/8/2020,billion,dong
54,PGC,HOSE,2020Q2,53.83,-27.3,51,892,"2,114.00",6.6,not audited,consolidated,6/8/2020,billion,dong
55,ITA,HOSE,2020Q2,60.07,-53.1,22,64,32,125.6,not audited,consolidated,6/8/2020,billion,dong
56,MHC,HOSE,2020Q2,-78.07,"-1,397.50",-390,"-1,909.00","-1,757.00",-3.7,not audited,consolidated,6/8/2020,billion,dong
57,POW,HOSE,2020Q2,"1,178.85",-22.6,58,503,917,10.3,not audited,consolidated,6/8/2020,billion,dong
58,TLD,HOSE,2020Q2,8.02,99.7,34,429,918,11.2,not audited,consolidated,6/8/2020,billion,dong
59,TEG,HOSE,2020Q2,0.12,-97.9,na,4,-45,-113.3,not audited,consolidated,6/8/2020,billion,dong
60,NAF,HOSE,2020Q2,37.38,157.4,57,844,"1,620.00",14.5,not audited,consolidated,6/8/2020,billion,dong
61,PHP,HNX,2020Q2,221.29,18.9,83,677,"1,294.00",7.7,not audited,consolidated,6/8/2020,billion,dong
62,QBS,HOSE,2020Q2,-22.27,na,-111,-321,"-2,174.00",-1,not audited,consolidated,6/8/2020,billion,dong
63,HAR,HOSE,2020Q2,-4.44,-625.5,-46,-44,32,86.3,not audited,consolidated,6/8/2020,billion,dong
64,PC1,HOSE,2020Q2,213.95,-4.8,46,"1,345.00","2,172.00",8.2,not audited,consolidated,6/8/2020,billion,dong
65,DBD,HOSE,2020Q2,78.74,8.4,55,"1,503.00","2,808.00",16.7,not audited,consolidated,6/8/2020,billion,dong
66,NKG,HOSE,2020Q2,58.79,73.1,29,323,396,17.3,not audited,consolidated,6/8/2020,billion,dong
67,FLC,HOSE,2020Q2,"-1,548.26","-3,843.80",105,"-2,181.00","-1,838.00",-1.5,not audited,consolidated,6/8/2020,billion,dong
68,DTL,HOSE,2020Q2,-100.94,na,"-1,009.00","-1,665.00","-2,526.00",-4.7,not audited,consolidated,6/8/2020,billion,dong
69,LIG,HNX,2020Q2,10.21,97.1,na,239,792,3.8,not audited,consolidated,6/8/2020,billion,dong
70,TLH,HOSE,2020Q2,-11.73,-131,na,-117,"-1,914.00",-1.7,not audited,consolidated,6/8/2020,billion,dong
71,LCS,HNX,2020Q2,-6.65,"-3,308.00",-887,-875,-743,-2.6,not audited,consolidated,6/8/2020,billion,dong
72,DL1,HNX,2020Q2,19.19,12.1,96,190,231,125.5,not audited,consolidated,6/8/2020,billion,dong
73,BTT,HOSE,2020Q2,13.88,-54,39,"1,029.00","2,768.00",13.4,not audited,consolidated,6/8/2020,billion,dong
74,PTD,HNX,2020Q2,-4.6,-165.3,na,"-1,437.00","-2,510.00",-4.7,not audited,consolidated,6/8/2020,billion,dong
75,SGR,HOSE,2020Q2,103.47,144.7,71,"2,272.00","3,317.00",5.7,not audited,consolidated,6/8/2020,billion,dong
76,KDH,HOSE,2020Q2,407.78,89.9,37,752,"2,044.00",12.1,not audited,consolidated,6/8/2020,billion,dong
77,SDG,HNX,2020Q2,37.29,135.9,59,"5,488.00","8,243.00",2.4,not audited,consolidated,6/8/2020,billion,dong
78,SRF,HOSE,2020Q2,4.34,-79.6,5,141,"1,482.00",9.5,not audited,consolidated,6/8/2020,billion,dong
79,DAG,HOSE,2020Q2,3.3,-90.5,9,64,582,10,not audited,consolidated,6/8/2020,billion,dong
80,MCG,HOSE,2020Q2,1.46,-60.4,13,28,239,6.9,not audited,consolidated,6/8/2020,billion,dong
81,TTT,HNX,2020Q2,11.71,-75.7,317,"2,563.00","1,654.00",19.3,not audited,consolidated,6/8/2020,billion,dong
82,LEC,HOSE,2020Q2,-6.65,"-3,714.10",-271,-255,-284,-58.1,not audited,consolidated,6/8/2020,billion,dong
83,TNA,HOSE,2020Q2,15.49,-30.9,24,452,"3,552.00",4.6,not audited,consolidated,6/8/2020,billion,dong
84,TRA,HOSE,2020Q2,80.82,23.6,45,"1,950.00","4,074.00",13.8,not audited,consolidated,6/8/2020,billion,dong
85,VCG,HNX,2020Q2,368.88,30.6,45,835,"1,751.00",14.9,not audited,consolidated,6/8/2020,billion,dong
86,LSS,HOSE,2020Q2,22.87,175.5,na,341,na,na,not audited,consolidated,6/8/2020,billion,dong
87,BCC,HNX,2020Q2,63.91,-22.8,55,581,"1,014.00",6.8,not audited,consolidated,6/8/2020,billion,dong
88,LBM,HOSE,2020Q2,36.59,17.3,75,"3,659.00","6,442.00",4.7,not audited,consolidated,6/8/2020,billion,dong
89,GMC,HOSE,2020Q2,17.71,-64.7,103,815,"3,271.00",5.1,not audited,consolidated,6/8/2020,billion,dong
90,PMS,HNX,2020Q2,9.41,2.8,70,"1,307.00","2,415.00",5.8,not audited,consolidated,6/8/2020,billion,dong
91,HTN,HOSE,2020Q2,114.49,54.9,na,"3,620.00","7,233.00",2.6,not audited,consolidated,6/8/2020,billion,dong
92,HHP,HNX,2020Q2,9.29,48,46,554,"1,040.00",10.4,not audited,consolidated,6/8/2020,billion,dong
93,HPX,HOSE,2020Q2,58.75,-34.6,14,284,"1,997.00",13.4,not audited,consolidated,6/8/2020,billion,dong
94,NHH,HOSE,2020Q2,19.27,-0.9,13,605,"1,668.00",28,not audited,consolidated,6/8/2020,billion,dong
95,SBV,HOSE,2020Q2,8.72,145.4,15,319,"2,208.00",4.4,not audited,consolidated,6/8/2020,billion,dong
96,IBC,HOSE,2020Q2,-168.2,"-1,889.80",-224,"-2,129.00","-1,292.00",-18.2,not audited,consolidated,6/8/2020,billion,dong
97,VIF,HNX,2020Q2,134.16,-51.8,42,383,"1,128.00",15.4,not audited,consolidated,6/8/2020,billion,dong
98,HNG,HOSE,2020Q2,11.18,101.5,3,10,"-1,439.00",-8.5,not audited,consolidated,6/8/2020,billion,dong
99,NVL,HOSE,2020Q2,"1,212.72",50.4,na,"1,276.00","4,020.00",16.1,not audited,consolidated,6/8/2020,billion,dong
100,HVN,HOSE,2020Q2,"-6,534.38",-612.1,-321,"-4,607.00","-3,867.00",-6.1,not audited,consolidated,6/8/2020,billion,dong
101,MWG,HOSE,2020Q2,"2,025.43",-4.4,na,"4,526.00","8,358.00",9.5,not audited,consolidated,6/8/2020,billion,dong
102,ADS,HOSE,2020Q2,-11.04,-404.7,-33,-433,-187,-48.2,not audited,consolidated,6/8/2020,billion,dong
103,GEX,HOSE,2020Q2,351.53,11.8,na,740,"1,416.00",14.2,not audited,consolidated,6/8/2020,billion,dong
104,TIG,HNX,2020Q2,26.95,-23.1,16,326,"1,356.00",4.6,not audited,consolidated,6/8/2020,billion,dong
105,IDI,HOSE,2020Q2,36.66,-83.4,23,169,590,6.2,not audited,consolidated,6/8/2020,billion,dong
106,HDA,HNX,2020Q2,-9.83,-249.3,-101,-855,88,86.4,not audited,consolidated,6/8/2020,billion,dong
107,CVN,HNX,2020Q2,8.58,-37.1,na,"1,039.00","5,537.00",2.4,not audited,consolidated,6/8/2020,billion,dong
108,HTL,HOSE,2020Q2,1.59,-89,na,133,658,19.5,not audited,consolidated,6/8/2020,billion,dong
109,IDJ,HNX,2020Q2,43.13,"5,475.30",59,"1,323.00","1,490.00",9.5,not audited,consolidated,6/8/2020,billion,dong
110,PHC,HOSE,2020Q2,5.6,-82.8,37,225,"1,468.00",7.4,not audited,consolidated,6/8/2020,billion,dong
111,VPS,HOSE,2020Q2,4.67,-29,69,191,474,30.7,not audited,consolidated,6/8/2020,billion,dong
112,MSH,HOSE,2020Q2,120.36,-45.1,na,"2,407.00","7,053.00",4.1,not audited,consolidated,6/8/2020,billion,dong
113,SCR,HOSE,2020Q2,71.36,-46.9,79,203,630,8.2,not audited,consolidated,6/8/2020,billion,dong
114,ITC,HOSE,2020Q2,34.47,124.9,29,498,"2,130.00",6.9,not audited,consolidated,6/8/2020,billion,dong
115,VCF,HOSE,2020Q2,260.4,-0.5,na,"9,797.00","25,568.00",8.4,not audited,consolidated,6/8/2020,billion,dong
116,HUT,HNX,2020Q2,-4.41,na,na,-16,212,9.9,not audited,consolidated,6/8/2020,billion,dong
117,S99,HNX,2020Q2,61.04,76.9,82,"1,376.00","1,158.00",16.1,not audited,consolidated,6/8/2020,billion,dong
118,DQC,HOSE,2020Q2,5.26,-64.1,-73,190,644,25,not audited,consolidated,6/8/2020,billion,dong
119,VNE,HOSE,2020Q2,0.31,-93.9,1,4,62,77.3,not audited,consolidated,6/8/2020,billion,dong
120,LGC,HOSE,2020Q2,146.84,-28.3,47,761,"1,568.00",29.7,not audited,consolidated,6/8/2020,billion,dong
121,HAX,HOSE,2020Q2,11.66,-60.9,na,320,902,13.6,reviewed,consolidated,6/8/2020,billion,dong
122,FPT,HOSE,2020Q2,"1,625.82",14.7,39,"2,356.00","4,845.00",9.7,not audited,consolidated,6/8/2020,billion,dong
123,GMD,HOSE,2020Q2,216.01,-25.1,na,727,"1,490.00",13.7,not audited,consolidated,6/8/2020,billion,dong
124,SAM,HOSE,2020Q2,5.56,-49.9,6,22,278,40.6,not audited,consolidated,6/8/2020,billion,dong
125,TTH,HNX,2020Q2,-3.15,-133.6,-16,-88,736,2.4,reviewed,separated,6/8/2020,billion,dong
126,FIT,HOSE,2020Q2,28.49,169.5,21,112,346,26.9,not audited,consolidated,6/8/2020,billion,dong
127,AAA,HOSE,2020Q2,126.17,-63.5,23,737,"1,453.00",7.9,not audited,consolidated,6/8/2020,billion,dong
128,POM,HOSE,2020Q2,-144.04,na,na,-559,"-1,244.00",-4,not audited,consolidated,6/8/2020,billion,dong
129,SMT,HNX,2020Q2,-4.25,na,"-4,355.00",-777,364,19.5,reviewed,separated,6/8/2020,billion,dong
130,IJC,HOSE,2020Q2,159.71,-14,60,"1,165.00","1,859.00",5.8,reviewed,consolidated,6/8/2020,billion,dong
131,THB,HNX,2020Q2,-4.48,-169.7,-80,-392,387,25.8,reviewed,consolidated,6/8/2020,billion,dong
132,L18,HNX,2020Q2,0.61,0.2,2,28,721,11.7,not audited,consolidated,6/8/2020,billion,dong
133,PGS,HNX,2020Q2,-20.15,-153.2,-41,-403,322,42.9,not audited,separated,6/8/2020,billion,dong
134,FRT,HOSE,2020Q2,19.19,-88.1,12,246,925,23.2,not audited,consolidated,6/8/2020,billion,dong
135,FCN,HOSE,2020Q2,28.09,-74.3,12,237,"1,146.00",8.2,not audited,consolidated,6/8/2020,billion,dong
136,KTT,HNX,2020Q2,0.02,106.4,na,6,834,9,not audited,separated,6/8/2020,billion,dong
137,VMD,HOSE,2020Q2,17.87,8,47,"1,157.00","2,110.00",10.1,not audited,consolidated,6/8/2020,billion,dong
138,CTI,HOSE,2020Q2,70.57,80.1,63,"1,121.00","1,673.00",7.2,not audited,consolidated,6/8/2020,billion,dong
139,VC9,HNX,2020Q2,-13.65,na,-114,"-1,167.00",-500,-8.8,not audited,separated,6/8/2020,billion,dong
140,DC4,HNX,2020Q2,19.6,249.7,75,782,"1,580.00",8.5,not audited,consolidated,6/8/2020,billion,dong
141,VIP,HOSE,2020Q2,72.7,443.9,134,"1,110.00","1,974.00",2.8,not audited,consolidated,6/8/2020,billion,dong
142,YBM,HOSE,2020Q2,6.77,-24.8,34,484,674,5.7,not audited,consolidated,6/8/2020,billion,dong
143,FTM,HOSE,2020Q2,-101.19,na,"-2,259.00","-2,024.00","-3,295.00",-0.4,not audited,separated,6/8/2020,billion,dong
144,DCM,HOSE,2020Q2,357.52,"15,275.10",689,675,923,8.9,not audited,consolidated,6/8/2020,billion,dong
145,NDX,HNX,2020Q2,1.53,-69.8,na,268,806,16.5,not audited,separated,6/8/2020,billion,dong
146,POT,HNX,2020Q2,1.77,-76.9,na,91,631,19.2,not audited,consolidated,6/8/2020,billion,dong
147,HLY,HNX,2020Q2,-2.75,na,na,"-2,746.00","-1,858.00",-27.2,not audited,separated,6/8/2020,billion,dong
148,BBS,HNX,2020Q2,3.25,6.2,58,542,965,12.1,not audited,separated,6/8/2020,billion,dong
149,AST,HOSE,2020Q2,0.5,-99.5,3,11,"1,963.00",22.3,not audited,consolidated,6/8/2020,billion,dong
150,VRE,HOSE,2020Q2,835.19,-33.3,33,363,"1,057.00",24.9,not audited,consolidated,6/8/2020,billion,dong
151,IDC,HNX,2020Q2,117.34,-8.7,23,397,"1,352.00",14,not audited,consolidated,6/8/2020,billion,dong
152,CIA,HNX,2020Q2,-15.04,-248.1,na,-963,-100,-102,not audited,consolidated,6/8/2020,billion,dong
153,CEE,HOSE,2020Q2,3.66,121.6,4,93,-943,-15.6,not audited,consolidated,6/8/2020,billion,dong
154,CTF,HOSE,2020Q2,1.06,-97.5,1,23,-93,-233.9,not audited,consolidated,6/8/2020,billion,dong
155,DAH,HOSE,2020Q2,3.76,-75.1,75,110,-204,-23.8,not audited,consolidated,6/8/2020,billion,dong
156,BCG,HOSE,2020Q2,17.02,-75,na,158,632,10.3,not audited,consolidated,6/8/2020,billion,dong
157,SGN,HOSE,2020Q2,76.18,-50.9,na,"2,272.00","7,849.00",8.7,not audited,consolidated,6/8/2020,billion,dong
158,HAH,HOSE,2020Q2,64.36,-2.1,76,"1,338.00","2,491.00",4.2,not audited,consolidated,6/8/2020,billion,dong
159,AMD,HOSE,2020Q2,6.13,-64.3,33,37,158,15.4,not audited,consolidated,6/8/2020,billion,dong
160,GEG,HOSE,2020Q2,125.43,-8.2,70,615,"1,189.00",15.4,not audited,consolidated,6/8/2020,billion,dong
161,CCL,HOSE,2020Q2,30.12,69.7,58,634,996,6.8,not audited,consolidated,6/8/2020,billion,dong
162,ELC,HOSE,2020Q2,14.37,479.4,58,284,835,6.1,not audited,consolidated,6/8/2020,billion,dong
163,UDC,HOSE,2020Q2,-9.84,na,-281,-283,-130,-40.8,not audited,consolidated,6/8/2020,billion,dong
164,VNF,HNX,2020Q2,12.38,8.8,96,"1,478.00","2,332.00",13.7,not audited,consolidated,6/8/2020,billion,dong
165,CKG,HOSE,2020Q2,68.14,26.4,67,"1,383.00","2,267.00",4.5,not audited,consolidated,6/8/2020,billion,dong
166,VRC,HOSE,2020Q2,0.66,-96.9,55,13,60,98.8,not audited,consolidated,6/8/2020,billion,dong
167,VNG,HOSE,2020Q2,32.91,-4.5,na,350,212,68.9,not audited,consolidated,6/8/2020,billion,dong
168,ASM,HOSE,2020Q2,270.64,-11.9,31,"1,045.00","2,296.00",2.4,not audited,consolidated,6/8/2020,billion,dong
169,DBT,HNX,2020Q2,4.62,-59.1,15,346,"1,101.00",9.4,not audited,consolidated,6/8/2020,billion,dong
170,PTB,HOSE,2020Q2,142.57,-24.4,38,"3,022.00","8,251.00",5.7,not audited,consolidated,6/8/2020,billion,dong
171,DLG,HOSE,2020Q2,-257.42,-625.6,-257,-860,-673,-1.9,not audited,consolidated,6/8/2020,billion,dong
172,CSC,HNX,2020Q2,-6.18,-316.7,na,-301,-277,-84.5,not audited,consolidated,6/8/2020,billion,dong
173,HDG,HOSE,2020Q2,566.39,42.3,48,"4,755.00","8,414.00",2.4,not audited,consolidated,6/8/2020,billion,dong
174,STG,HOSE,2020Q2,-10.48,-117.8,-17,-107,355,41.5,not audited,consolidated,6/8/2020,billion,dong
175,PET,HOSE,2020Q2,51.6,-16.5,37,607,"1,385.00",6.5,not audited,consolidated,6/8/2020,billion,dong
176,ACL,HOSE,2020Q2,5.09,-95.5,9,223,"1,611.00",9.4,not audited,consolidated,6/8/2020,billion,dong
177,HAI,HOSE,2020Q2,0.67,-94,5,4,-9,-266.7,not audited,consolidated,6/8/2020,billion,dong
178,SFI,HOSE,2020Q2,32.39,5.6,na,"2,273.00","3,340.00",5.9,not audited,consolidated,6/8/2020,billion,dong
179,HBC,HOSE,2020Q2,7.28,-95.9,6,32,"1,167.00",7.9,not audited,consolidated,6/8/2020,billion,dong
180,DNP,HNX,2020Q2,-0.99,-112.5,-26,-10,236,77.5,not audited,consolidated,6/8/2020,billion,dong
181,SJS,HOSE,2020Q2,21.86,43.9,20,192,930,22.6,not audited,consolidated,6/8/2020,billion,dong
182,CII,HOSE,2020Q2,264.26,506.7,na,"1,070.00","3,808.00",4.6,not audited,consolidated,6/8/2020,billion,dong
183,EVE,HOSE,2020Q2,-6.41,-164.1,-8,-168,"1,456.00",6,not audited,consolidated,6/8/2020,billion,dong
184,PSH,HOSE,2020Q2,2.04,na,1,16,na,na,not audited,consolidated,6/8/2020,billion,dong
185,TAR,HNX,2020Q2,58.97,398.1,66,"1,685.00","2,924.00",6,not audited,consolidated,6/8/2020,billion,dong
186,TTE,HOSE,2020Q2,-18.79,-233.6,na,-660,-741,-21.3,not audited,consolidated,6/8/2020,billion,dong
187,SCI,HNX,2020Q2,67.17,67.8,159,"5,565.00","5,697.00",7.6,not audited,consolidated,6/8/2020,billion,dong
