number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
290,LHC,HNX,2020Q2,31.8,15.5,42,"8,832.00","15,599.00",5.2,not audited,consolidated,6/8/2020,billion,dong
291,NDN,HNX,2020Q2,80.57,91.4,na,"1,681.00","2,254.00",8.4,not audited,consolidated,6/8/2020,billion,dong
292,NAV,HOSE,2020Q2,8.58,122.7,64,"1,073.00","2,346.00",8.7,not audited,separated,6/8/2020,billion,dong
293,ICT,HOSE,2020Q2,35.99,110.6,36,"1,118.00","3,437.00",5.9,not audited,consolidated,6/8/2020,billion,dong
294,THG,HOSE,2020Q2,91.34,100.5,79,"6,920.00","11,769.00",4.1,not audited,consolidated,6/8/2020,billion,dong
295,C32,HOSE,2020Q2,46.02,31.8,53,"3,062.00","5,711.00",4.2,not audited,consolidated,6/8/2020,billion,dong
296,API,HNX,2020Q2,31.34,408.8,78,885,"1,884.00",4.3,not audited,consolidated,6/8/2020,billion,dong
297,PHR,HOSE,2020Q2,394.85,138.3,46,"2,914.00","6,247.00",8.4,reviewed,C?g ty m?,6/8/2020,billion,dong
298,PVC,HNX,2020Q2,3.1,-75.9,46,64,187,28.3,not audited,consolidated,6/8/2020,billion,dong
299,TPC,HOSE,2020Q2,11.02,19.8,55,503,"1,046.00",7.2,not audited,consolidated,6/8/2020,billion,dong
300,GTA,HOSE,2020Q2,6.39,-37,na,650,"1,478.00",7,reviewed,separated,6/8/2020,billion,dong
301,L10,HOSE,2020Q2,8.17,-7.9,54,834,"1,716.00",8.6,not audited,separated,6/8/2020,billion,dong
302,TMC,HNX,2020Q2,-3.3,-139.6,-19,-266,541,23.5,reviewed,consolidated,6/8/2020,billion,dong
303,ARM,HNX,2020Q2,-0.45,-111.3,-10,-174,"1,234.00",15,reviewed,separated,6/8/2020,billion,dong
304,VNR,HNX,2020Q2,117.03,-11.6,44,893,"2,164.00",8.8,not audited,C?g ty m?,6/8/2020,billion,dong
305,SVC,HOSE,2020Q2,21.7,-68.4,20,869,"4,237.00",20.2,not audited,consolidated,6/8/2020,billion,dong
306,HPG,HOSE,2020Q2,"5,028.11",31.1,56,"1,821.00","3,151.00",7.6,not audited,consolidated,6/8/2020,billion,dong
307,SGD,HNX,2020Q2,0.75,-49.8,na,186,781,12.8,not audited,consolidated,6/8/2020,billion,dong
308,TYA,HOSE,2020Q2,24.9,-41.8,28,819,"2,340.00",6.1,not audited,separated,6/8/2020,billion,dong
309,KSQ,HNX,2020Q2,-0.71,na,-9,-24,-30,-50,not audited,separated,6/8/2020,billion,dong
310,LDP,HNX,2020Q2,-13.16,na,-195,"-1,681.00",417,34.8,not audited,separated,6/8/2020,billion,dong
311,HOM,HNX,2020Q2,0.73,-91.4,3,11,181,15.5,not audited,separated,6/8/2020,billion,dong
312,GAB,HOSE,2020Q2,1.41,-74,6,102,913,166.8,not audited,separated,6/8/2020,billion,dong
313,DHP,HNX,2020Q2,8.29,6.3,66,873,"1,325.00",7.2,not audited,separated,6/8/2020,billion,dong
314,CLM,HNX,2020Q2,32.28,182,76,"2,935.00","5,614.00",2.8,not audited,separated,6/8/2020,billion,dong
315,EMC,HOSE,2020Q2,0.78,281,na,51,124,78.9,not audited,separated,6/8/2020,billion,dong
316,DNC,HNX,2020Q2,7.22,-4.4,36,"1,756.00","4,952.00",9.7,not audited,separated,6/8/2020,billion,dong
317,CLW,HOSE,2020Q2,11.93,-26,na,918,"1,364.00",17.9,not audited,separated,6/8/2020,billion,dong
318,VFG,HOSE,2020Q2,60.51,-18.1,50,"1,887.00","3,977.00",9.6,not audited,consolidated,6/8/2020,billion,dong
319,VCS,HNX,2020Q2,560.94,-16.3,41,"3,546.00","8,223.00",7.4,not audited,consolidated,6/8/2020,billion,dong
320,EBS,HNX,2020Q2,3.26,-25.4,39,327,912,8,not audited,separated,6/8/2020,billion,dong
321,AGG,HOSE,2020Q2,189.45,195.9,na,"2,526.00","6,012.00",4.5,not audited,consolidated,6/8/2020,billion,dong
322,YEG,HOSE,2020Q2,4.21,104.5,3,142,"-9,237.00",-5.2,not audited,consolidated,6/8/2020,billion,dong
323,TDT,HNX,2020Q2,1.87,-76.4,4,198,"2,177.00",4.1,not audited,separated,6/8/2020,billion,dong
324,PLP,HOSE,2020Q2,24.49,22.8,46,980,"2,110.00",6.4,not audited,separated,6/8/2020,billion,dong
325,TDG,HOSE,2020Q2,-4.17,-364.5,-113,-248,-156,-10.6,not audited,separated,6/8/2020,billion,dong
326,C69,HNX,2020Q2,1.71,-31.2,21,128,312,17.6,not audited,separated,6/8/2020,billion,dong
327,CTP,HNX,2020Q2,0,100,na,na,895,2.6,not audited,separated,6/8/2020,billion,dong
328,DGW,HOSE,2020Q2,93.14,59.2,46,"2,214.00","4,640.00",9.2,not audited,consolidated,6/8/2020,billion,dong
329,VAF,HOSE,2020Q2,11.2,7.5,40,297,338,29.1,not audited,separated,6/8/2020,billion,dong
330,SCS,HOSE,2020Q2,221.19,-7.7,59,"4,398.00","9,625.00",11.5,not audited,separated,6/8/2020,billion,dong
